------------------------- 2024/07/24/15:07 | C:\Users\JAVIER.MOLINA\eclipse-workspace\ConfrontaDeFM\TEMP\01\011111100\PC_SE_01111110X\mza.json ----------------------------
------------------------- 2024/07/24/15:07 | C:\Users\JAVIER.MOLINA\eclipse-workspace\ConfrontaDeFM\TEMP\01\011111300\PC_SE_011111300\mza.json ----------------------------
ERROR | ROW: 0 | GEOMETRY: Polygon | CVEGEO: 0300100012224020
ERROR | ROW: 6 | GEOMETRY: Polygon | CVEGEO: 0300300923547027
ERROR - ROW: 60 | GEOMETRY: MultiPolygon | CVEGEO: 0300300925168021
ERROR - ROW: 76 | GEOMETRY: MultiPolygon | CVEGEO: 0300309852534037
ERROR - ROW: 96 | GEOMETRY: MultiPolygon | CVEGEO: 0300300925168036
ERROR - ROW: 102 | GEOMETRY: MultiPolygon | CVEGEO: 0300300925168004
ERROR - ROW: 130 | GEOMETRY: MultiPolygon | CVEGEO: 0300314502445014
ERROR - ROW: 134 | GEOMETRY: MultiPolygon | CVEGEO: 0300309852534028
ERROR - ROW: 135 | GEOMETRY: MultiPolygon | CVEGEO: 0300315002619013
ERROR - ROW: 142 | GEOMETRY: MultiPolygon | CVEGEO: 0300309852534025
ERROR - ROW: 145 | GEOMETRY: MultiPolygon | CVEGEO: 0300309852534005
ERROR - ROW: 171 | GEOMETRY: MultiPolygon | CVEGEO: 0300300925168047
ERROR - ROW: 184 | GEOMETRY: MultiPolygon | CVEGEO: 0300302892356800
ERROR - ROW: 187 | GEOMETRY: MultiPolygon | CVEGEO: 0300300925168029
ERROR - ROW: 189 | GEOMETRY: MultiPolygon | CVEGEO: 0300315002619007
ERROR - ROW: 194 | GEOMETRY: MultiPolygon | CVEGEO: 0300315002619006
ERROR - ROW: 195 | GEOMETRY: MultiPolygon | CVEGEO: 0300314992515004
ERROR - ROW: 197 | GEOMETRY: MultiPolygon | CVEGEO: 0300300925168043
ERROR - ROW: 198 | GEOMETRY: MultiPolygon | CVEGEO: 0300300925168020
ERROR - ROW: 216 | GEOMETRY: MultiPolygon | CVEGEO: 0300309852534002
ERROR - ROW: 220 | GEOMETRY: MultiPolygon | CVEGEO: 0300300925168042
ERROR - ROW: 222 | GEOMETRY: MultiPolygon | CVEGEO: 0300309852534001
ERROR - ROW: 229 | GEOMETRY: MultiPolygon | CVEGEO: 0300300925168030
ERROR - ROW: 257 | GEOMETRY: MultiPolygon | CVEGEO: 0300300925168055
ERROR - ROW: 260 | GEOMETRY: MultiPolygon | CVEGEO: 0300309852534007
ERROR - ROW: 266 | GEOMETRY: MultiPolygon | CVEGEO: 0300300925168046
ERROR - ROW: 273 | GEOMETRY: MultiPolygon | CVEGEO: 0300314992515020
ERROR - ROW: 276 | GEOMETRY: MultiPolygon | CVEGEO: 0300309852534018
ERROR - ROW: 293 | GEOMETRY: MultiPolygon | CVEGEO: 0300314992515007
ERROR - ROW: 312 | GEOMETRY: MultiPolygon | CVEGEO: 0300309852534003
ERROR - ROW: 318 | GEOMETRY: MultiPolygon | CVEGEO: 0300300925168040
ERROR - ROW: 340 | GEOMETRY: MultiPolygon | CVEGEO: 0300300925168023
ERROR - ROW: 354 | GEOMETRY: MultiPolygon | CVEGEO: 0300300925168012
ERROR - ROW: 358 | GEOMETRY: MultiPolygon | CVEGEO: 0300300925168010
ERROR - ROW: 359 | GEOMETRY: MultiPolygon | CVEGEO: 0300309852534011
ERROR - ROW: 360 | GEOMETRY: MultiPolygon | CVEGEO: 0300302542375800
ERROR - ROW: 382 | GEOMETRY: MultiPolygon | CVEGEO: 0300314502445006
ERROR - ROW: 383 | GEOMETRY: MultiPolygon | CVEGEO: 0300309852534023
ERROR - ROW: 384 | GEOMETRY: MultiPolygon | CVEGEO: 0300309852534026
ERROR - ROW: 385 | GEOMETRY: MultiPolygon | CVEGEO: 0300315002619004
ERROR - ROW: 387 | GEOMETRY: MultiPolygon | CVEGEO: 0300300925168038
ERROR - ROW: 391 | GEOMETRY: MultiPolygon | CVEGEO: 0300300925168025
ERROR - ROW: 395 | GEOMETRY: MultiPolygon | CVEGEO: 0300315002619005
ERROR - ROW: 399 | GEOMETRY: MultiPolygon | CVEGEO: 0300314992515008
ERROR - ROW: 411 | GEOMETRY: MultiPolygon | CVEGEO: 0300309852534032
ERROR - ROW: 431 | GEOMETRY: MultiPolygon | CVEGEO: 0300300925168035
ERROR - ROW: 432 | GEOMETRY: MultiPolygon | CVEGEO: 0300309852534021
ERROR - ROW: 446 | GEOMETRY: MultiPolygon | CVEGEO: 0300300925168044
ERROR - ROW: 455 | GEOMETRY: MultiPolygon | CVEGEO: 0300300925168028
ERROR - ROW: 460 | GEOMETRY: MultiPolygon | CVEGEO: 0300314502445005
ERROR - ROW: 486 | GEOMETRY: MultiPolygon | CVEGEO: 0300314992515019
ERROR - ROW: 508 | GEOMETRY: MultiPolygon | CVEGEO: 0300309852534019
ERROR - ROW: 524 | GEOMETRY: MultiPolygon | CVEGEO: 0300314992515017
ERROR - ROW: 525 | GEOMETRY: MultiPolygon | CVEGEO: 0300300925168049
ERROR - ROW: 544 | GEOMETRY: MultiPolygon | CVEGEO: 0300300925168053
ERROR - ROW: 551 | GEOMETRY: MultiPolygon | CVEGEO: 0300314502445013
ERROR - ROW: 553 | GEOMETRY: MultiPolygon | CVEGEO: 0300314992515016
ERROR - ROW: 555 | GEOMETRY: MultiPolygon | CVEGEO: 0300309852534022
ERROR - ROW: 556 | GEOMETRY: MultiPolygon | CVEGEO: 0300300925168022
ERROR - ROW: 557 | GEOMETRY: MultiPolygon | CVEGEO: 0300300925168027
ERROR - ROW: 565 | GEOMETRY: MultiPolygon | CVEGEO: 0300314992515021
ERROR - ROW: 580 | GEOMETRY: MultiPolygon | CVEGEO: 0300309852534015
ERROR - ROW: 595 | GEOMETRY: MultiPolygon | CVEGEO: 0300314992515003
ERROR - ROW: 603 | GEOMETRY: MultiPolygon | CVEGEO: 0300309852534017
ERROR - ROW: 617 | GEOMETRY: MultiPolygon | CVEGEO: 0300309852534030
ERROR - ROW: 627 | GEOMETRY: MultiPolygon | CVEGEO: 0300314502445009
ERROR - ROW: 637 | GEOMETRY: MultiPolygon | CVEGEO: 0300309852534031
ERROR - ROW: 639 | GEOMETRY: MultiPolygon | CVEGEO: 0300300925168005
ERROR - ROW: 643 | GEOMETRY: MultiPolygon | CVEGEO: 0300315002619018
ERROR - ROW: 645 | GEOMETRY: MultiPolygon | CVEGEO: 0300309852534027
ERROR - ROW: 663 | GEOMETRY: MultiPolygon | CVEGEO: 0300300925168008
ERROR - ROW: 719 | GEOMETRY: MultiPolygon | CVEGEO: 0300309852534800
ERROR - ROW: 737 | GEOMETRY: MultiPolygon | CVEGEO: 0300300925168018
ERROR - ROW: 739 | GEOMETRY: MultiPolygon | CVEGEO: 0300309852534024
ERROR - ROW: 745 | GEOMETRY: MultiPolygon | CVEGEO: 0300314502445001
ERROR - ROW: 746 | GEOMETRY: MultiPolygon | CVEGEO: 0300315002619017
ERROR - ROW: 763 | GEOMETRY: MultiPolygon | CVEGEO: 0300300925168031
ERROR - ROW: 780 | GEOMETRY: MultiPolygon | CVEGEO: 0300314502445008
ERROR - ROW: 791 | GEOMETRY: MultiPolygon | CVEGEO: 0300314502445012
ERROR - ROW: 807 | GEOMETRY: MultiPolygon | CVEGEO: 0300309852534009
ERROR - ROW: 815 | GEOMETRY: MultiPolygon | CVEGEO: 0300314992515014
ERROR - ROW: 837 | GEOMETRY: MultiPolygon | CVEGEO: 0300314502445003
ERROR - ROW: 839 | GEOMETRY: MultiPolygon | CVEGEO: 0300314502445015
ERROR - ROW: 849 | GEOMETRY: MultiPolygon | CVEGEO: 0300300925168033
ERROR - ROW: 851 | GEOMETRY: MultiPolygon | CVEGEO: 0300314502445007
ERROR - ROW: 854 | GEOMETRY: MultiPolygon | CVEGEO: 0300309852534029
ERROR - ROW: 857 | GEOMETRY: MultiPolygon | CVEGEO: 0300309852534010
ERROR - ROW: 866 | GEOMETRY: MultiPolygon | CVEGEO: 0300309852534036
ERROR - ROW: 883 | GEOMETRY: MultiPolygon | CVEGEO: 0300315002619010
ERROR - ROW: 891 | GEOMETRY: MultiPolygon | CVEGEO: 0300309852534008
ERROR - ROW: 909 | GEOMETRY: MultiPolygon | CVEGEO: 0300314502445004
ERROR - ROW: 910 | GEOMETRY: MultiPolygon | CVEGEO: 0300300925168017
ERROR - ROW: 912 | GEOMETRY: MultiPolygon | CVEGEO: 0300315002619008
ERROR - ROW: 925 | GEOMETRY: MultiPolygon | CVEGEO: 0300300925168019
ERROR - ROW: 934 | GEOMETRY: MultiPolygon | CVEGEO: 0300314502445002
ERROR - ROW: 958 | GEOMETRY: MultiPolygon | CVEGEO: 0300314992515009
ERROR - ROW: 968 | GEOMETRY: MultiPolygon | CVEGEO: 0300309852534035
ERROR - ROW: 971 | GEOMETRY: MultiPolygon | CVEGEO: 0300315002619001
ERROR - ROW: 986 | GEOMETRY: MultiPolygon | CVEGEO: 0300300925168006
ERROR - ROW: 996 | GEOMETRY: MultiPolygon | CVEGEO: 0300300925168037
ERROR - ROW: 1016 | GEOMETRY: MultiPolygon | CVEGEO: 0300309852534006
ERROR - ROW: 1028 | GEOMETRY: MultiPolygon | CVEGEO: 0300301752341800
ERROR - ROW: 1051 | GEOMETRY: MultiPolygon | CVEGEO: 0300314992515006
ERROR - ROW: 1093 | GEOMETRY: MultiPolygon | CVEGEO: 0300300925168003
ERROR - ROW: 1099 | GEOMETRY: MultiPolygon | CVEGEO: 0300315002619014
ERROR - ROW: 1103 | GEOMETRY: MultiPolygon | CVEGEO: 0300300925168034
ERROR - ROW: 1114 | GEOMETRY: MultiPolygon | CVEGEO: 0300300925168014
